company_id,pros,cons,score,recommendation,confidence,top_pros,top_cons,summary
HEROMOTOCO,6,1,4.55,Strong Buy,0.95,High ROE (21.1%); Low debt levels,Requires further financial monitoring,HEROMOTOCO is rated Strong Buy with 95% confidence. Key strengths include high roe (21.1%); low debt levels. Investors should monitor requires further financial monitoring. 
INDIGO,6,1,4.55,Strong Buy,0.95,High ROE (892.6%); Low debt levels,Requires further financial monitoring,INDIGO is rated Strong Buy with 95% confidence. Key strengths include high roe (892.6%); low debt levels. Investors should monitor requires further financial monitoring. 
PIDILITIND,6,1,4.55,Strong Buy,0.95,High ROE (20.8%); Low debt levels,Requires further financial monitoring,PIDILITIND is rated Strong Buy with 95% confidence. Key strengths include high roe (20.8%); low debt levels. Investors should monitor requires further financial monitoring. 
ADANIPOWER,5,1,3.75,Strong Buy,0.95,High ROE (48.3%); Healthy net profit margin,Requires further financial monitoring,ADANIPOWER is rated Strong Buy with 95% confidence. Key strengths include high roe (48.3%); healthy net profit margin. Investors should monitor requires further financial monitoring. 
TORNTPHARM,5,1,3.75,Strong Buy,0.95,High ROE (24.1%); Healthy net profit margin,Requires further financial monitoring,TORNTPHARM is rated Strong Buy with 95% confidence. Key strengths include high roe (24.1%); healthy net profit margin. Investors should monitor requires further financial monitoring. 
BAJAJHLDNG,5,1,3.7,Strong Buy,0.95,Low debt levels; Healthy net profit margin,Requires further financial monitoring,BAJAJHLDNG is rated Strong Buy with 95% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor requires further financial monitoring. 
CIPLA,5,1,3.7,Strong Buy,0.95,Low debt levels; Healthy net profit margin,Requires further financial monitoring,CIPLA is rated Strong Buy with 95% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor requires further financial monitoring. 
DIVISLAB,5,1,3.7,Strong Buy,0.95,Low debt levels; Healthy net profit margin,Requires further financial monitoring,DIVISLAB is rated Strong Buy with 95% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor requires further financial monitoring. 
DRREDDY,5,1,3.7,Strong Buy,0.95,Low debt levels; Healthy net profit margin,Requires further financial monitoring,DRREDDY is rated Strong Buy with 95% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor requires further financial monitoring. 
SUNPHARMA,5,1,3.7,Strong Buy,0.95,Low debt levels; Healthy net profit margin,Requires further financial monitoring,SUNPHARMA is rated Strong Buy with 95% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor requires further financial monitoring. 
LTIM,5,1,3.65,Strong Buy,0.95,High ROE (22.9%); Low debt levels,Requires further financial monitoring,LTIM is rated Strong Buy with 95% confidence. Key strengths include high roe (22.9%); low debt levels. Investors should monitor requires further financial monitoring. 
TRENT,5,1,3.65,Strong Buy,0.95,High ROE (36.3%); Low debt levels,Requires further financial monitoring,TRENT is rated Strong Buy with 95% confidence. Key strengths include high roe (36.3%); low debt levels. Investors should monitor requires further financial monitoring. 
BEL,5,1,3.55,Strong Buy,0.95,High ROE (4744.1%); Healthy net profit margin,Negative free cash flow,BEL is rated Strong Buy with 95% confidence. Key strengths include high roe (4744.1%); healthy net profit margin. Investors should monitor negative free cash flow. 
DLF,5,1,3.55,Strong Buy,0.95,Low debt levels; Healthy net profit margin,Low ROE (6.9%),DLF is rated Strong Buy with 95% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor low roe (6.9%). 
JIOFIN,5,1,3.55,Strong Buy,0.95,Low debt levels; Healthy net profit margin,Low ROE (1.1%),JIOFIN is rated Strong Buy with 95% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor low roe (1.1%). 
BOSCHLTD,4,1,2.85,Buy,0.9,High ROE (20.6%); Low debt levels,Requires further financial monitoring,BOSCHLTD is rated Buy with 90% confidence. Key strengths include high roe (20.6%); low debt levels. Investors should monitor requires further financial monitoring. 
ADANIPORTS,4,1,2.8,Buy,0.9,Healthy net profit margin; Strong operating margin,Requires further financial monitoring,ADANIPORTS is rated Buy with 90% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor requires further financial monitoring. 
ICICIGI,4,1,2.8,Buy,0.9,Low debt levels; Strong operating margin,Requires further financial monitoring,ICICIGI is rated Buy with 90% confidence. Key strengths include low debt levels; strong operating margin. Investors should monitor requires further financial monitoring. 
NHPC,4,1,2.8,Buy,0.9,Healthy net profit margin; Strong operating margin,Requires further financial monitoring,NHPC is rated Buy with 90% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor requires further financial monitoring. 
BRITANNIA,4,1,2.75,Buy,0.9,High ROE (54.1%); Comfortable interest coverage,Requires further financial monitoring,BRITANNIA is rated Buy with 90% confidence. Key strengths include high roe (54.1%); comfortable interest coverage. Investors should monitor requires further financial monitoring. 
HDFCBANK,5,2,2.75,Buy,0.9,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage,HDFCBANK is rated Buy with 90% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; low interest coverage. 
LT,4,1,2.75,Buy,0.9,High ROE (77.7%); Low debt levels,Requires further financial monitoring,LT is rated Buy with 90% confidence. Key strengths include high roe (77.7%); low debt levels. Investors should monitor requires further financial monitoring. 
GAIL,4,1,2.7,Buy,0.9,Low debt levels; Comfortable interest coverage,Requires further financial monitoring,GAIL is rated Buy with 90% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor requires further financial monitoring. 
HAVELLS,4,1,2.7,Buy,0.9,Low debt levels; Comfortable interest coverage,Requires further financial monitoring,HAVELLS is rated Buy with 90% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor requires further financial monitoring. 
MARUTI,4,1,2.7,Buy,0.9,Low debt levels; Comfortable interest coverage,Requires further financial monitoring,MARUTI is rated Buy with 90% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor requires further financial monitoring. 
BPCL,4,1,2.65,Buy,0.9,High ROE (35.5%); Comfortable interest coverage,Weak operating margin,BPCL is rated Buy with 90% confidence. Key strengths include high roe (35.5%); comfortable interest coverage. Investors should monitor weak operating margin. 
IOC,4,1,2.65,Buy,0.9,High ROE (23.5%); Comfortable interest coverage,Weak operating margin,IOC is rated Buy with 90% confidence. Key strengths include high roe (23.5%); comfortable interest coverage. Investors should monitor weak operating margin. 
SHREECEM,4,1,2.65,Buy,0.9,Low debt levels; Strong operating margin,Low ROE (8.4%),SHREECEM is rated Buy with 90% confidence. Key strengths include low debt levels; strong operating margin. Investors should monitor low roe (8.4%). 
TATAMOTORS,4,1,2.6,Buy,0.9,High ROE (37.5%); Comfortable interest coverage,High debt levels,TATAMOTORS is rated Buy with 90% confidence. Key strengths include high roe (37.5%); comfortable interest coverage. Investors should monitor high debt levels. 
TITAN,4,1,2.6,Buy,0.9,High ROE (37.2%); Comfortable interest coverage,High debt levels,TITAN is rated Buy with 90% confidence. Key strengths include high roe (37.2%); comfortable interest coverage. Investors should monitor high debt levels. 
DABUR,3,1,1.9,Hold,0.85,Low debt levels; Comfortable interest coverage,Requires further financial monitoring,DABUR is rated Hold with 85% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor requires further financial monitoring. 
LICI,4,2,1.9,Hold,0.85,High ROE (49.5%); Low debt levels,Weak profitability; Weak operating margin,LICI is rated Hold with 85% confidence. Key strengths include high roe (49.5%); low debt levels. Investors should monitor weak profitability; weak operating margin. 
ONGC,3,1,1.9,Hold,0.85,Low debt levels; Comfortable interest coverage,Requires further financial monitoring,ONGC is rated Hold with 85% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor requires further financial monitoring. 
SIEMENS,3,1,1.9,Hold,0.85,Low debt levels; Comfortable interest coverage,Requires further financial monitoring,SIEMENS is rated Hold with 85% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor requires further financial monitoring. 
ULTRACEMCO,3,1,1.9,Hold,0.85,Low debt levels; Comfortable interest coverage,Requires further financial monitoring,ULTRACEMCO is rated Hold with 85% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor requires further financial monitoring. 
ICICIPRULI,4,2,1.8,Hold,0.85,Low debt levels; Strong operating margin,Low ROE (7.7%); Weak profitability,ICICIPRULI is rated Hold with 85% confidence. Key strengths include low debt levels; strong operating margin. Investors should monitor low roe (7.7%); weak profitability. 
JINDALSTEL,3,1,1.8,Hold,0.85,Low debt levels; Strong operating margin,Negative free cash flow,JINDALSTEL is rated Hold with 85% confidence. Key strengths include low debt levels; strong operating margin. Investors should monitor negative free cash flow. 
LODHA,4,2,1.8,Hold,0.85,Low debt levels; Healthy net profit margin,Low ROE (8.9%); Negative free cash flow,LODHA is rated Hold with 85% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor low roe (8.9%); negative free cash flow. 
NAUKRI,4,2,1.8,Hold,0.85,Low debt levels; Healthy net profit margin,Low ROE (2.0%); Negative free cash flow,NAUKRI is rated Hold with 85% confidence. Key strengths include low debt levels; healthy net profit margin. Investors should monitor low roe (2.0%); negative free cash flow. 
DMART,4,2,1.75,Hold,0.85,Low debt levels; Comfortable interest coverage,Weak profitability; Weak operating margin,DMART is rated Hold with 85% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor weak profitability; weak operating margin. 
POWERGRID,3,1,1.75,Hold,0.85,Healthy net profit margin; Strong operating margin,High debt levels,POWERGRID is rated Hold with 85% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels. 
TATACONSUM,3,1,1.75,Hold,0.85,Low debt levels; Comfortable interest coverage,Low ROE (7.6%),TATACONSUM is rated Hold with 85% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor low roe (7.6%). 
APOLLOHOSP,3,1,1.7,Hold,0.85,Comfortable interest coverage; Positive free cash flow,Weak profitability,APOLLOHOSP is rated Hold with 85% confidence. Key strengths include comfortable interest coverage; positive free cash flow. Investors should monitor weak profitability. 
HDFCLIFE,3,2,0.95,Hold,0.85,Low debt levels; Strong operating margin,Weak profitability; Negative free cash flow,HDFCLIFE is rated Hold with 85% confidence. Key strengths include low debt levels; strong operating margin. Investors should monitor weak profitability; negative free cash flow. 
AMBUJACEM,2,1,0.9,Hold,0.85,Low debt levels; Comfortable interest coverage,Negative free cash flow,AMBUJACEM is rated Hold with 85% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor negative free cash flow. 
BAJFINANCE,3,2,0.9,Hold,0.85,Healthy net profit margin; Strong operating margin,High debt levels; Negative free cash flow,BAJFINANCE is rated Hold with 85% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; negative free cash flow. 
CHOLAFIN,3,2,0.9,Hold,0.85,Healthy net profit margin; Strong operating margin,High debt levels; Negative free cash flow,CHOLAFIN is rated Hold with 85% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; negative free cash flow. 
HINDALCO,3,2,0.9,Hold,0.85,Strong operating margin; Comfortable interest coverage,Low ROE (9.6%); Weak profitability,HINDALCO is rated Hold with 85% confidence. Key strengths include strong operating margin; comfortable interest coverage. Investors should monitor low roe (9.6%); weak profitability. 
BHARTIARTL,2,1,0.85,Hold,0.85,Strong operating margin; Positive free cash flow,High debt levels,BHARTIARTL is rated Hold with 85% confidence. Key strengths include strong operating margin; positive free cash flow. Investors should monitor high debt levels. 
ICICIBANK,3,2,0.85,Hold,0.85,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage,ICICIBANK is rated Hold with 85% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; low interest coverage. 
IRFC,3,2,0.85,Hold,0.85,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage,IRFC is rated Hold with 85% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; low interest coverage. 
KOTAKBANK,3,2,0.85,Hold,0.85,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage,KOTAKBANK is rated Hold with 85% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; low interest coverage. 
MOTHERSON,3,2,0.85,Hold,0.85,Comfortable interest coverage; Positive free cash flow,Weak profitability; Weak operating margin,MOTHERSON is rated Hold with 85% confidence. Key strengths include comfortable interest coverage; positive free cash flow. Investors should monitor weak profitability; weak operating margin. 
NTPC,2,1,0.85,Hold,0.85,Strong operating margin; Positive free cash flow,High debt levels,NTPC is rated Hold with 85% confidence. Key strengths include strong operating margin; positive free cash flow. Investors should monitor high debt levels. 
RELIANCE,2,1,0.85,Hold,0.85,Comfortable interest coverage; Positive free cash flow,Low ROE (10.0%),RELIANCE is rated Hold with 85% confidence. Key strengths include comfortable interest coverage; positive free cash flow. Investors should monitor low roe (10.0%). 
TECHM,4,3,0.85,Hold,0.85,Low debt levels; Comfortable interest coverage,Low ROE (9.0%); Weak profitability,TECHM is rated Hold with 85% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor low roe (9.0%); weak profitability. 
SBILIFE,3,3,0.15,Sell,0.8,Low debt levels; Comfortable interest coverage,Weak profitability; Weak operating margin,SBILIFE is rated Sell with 80% confidence. Key strengths include low debt levels; comfortable interest coverage. Investors should monitor weak profitability; weak operating margin. 
BAJAJFINSV,2,2,0.05,Sell,0.8,High ROE (25.9%); Strong operating margin,High debt levels; Negative free cash flow,BAJAJFINSV is rated Sell with 80% confidence. Key strengths include high roe (25.9%); strong operating margin. Investors should monitor high debt levels; negative free cash flow. 
PFC,3,3,0.05,Sell,0.8,High ROE (26.2%); Healthy net profit margin,High debt levels; Low interest coverage,PFC is rated Sell with 80% confidence. Key strengths include high roe (26.2%); healthy net profit margin. Investors should monitor high debt levels; low interest coverage. 
RECLTD,3,3,0.05,Sell,0.8,High ROE (20.4%); Healthy net profit margin,High debt levels; Low interest coverage,RECLTD is rated Sell with 80% confidence. Key strengths include high roe (20.4%); healthy net profit margin. Investors should monitor high debt levels; low interest coverage. 
ADANIENSOL,2,2,-0.05,Sell,0.8,Strong operating margin; Positive free cash flow,Low ROE (9.5%); High debt levels,ADANIENSOL is rated Sell with 80% confidence. Key strengths include strong operating margin; positive free cash flow. Investors should monitor low roe (9.5%); high debt levels. 
CANBK,2,2,-0.05,Sell,0.8,Strong operating margin; Positive free cash flow,High debt levels; Low interest coverage,CANBK is rated Sell with 80% confidence. Key strengths include strong operating margin; positive free cash flow. Investors should monitor high debt levels; low interest coverage. 
PNB,2,2,-0.05,Sell,0.8,High ROE (61.3%); Efficient asset utilization,High debt levels; Negative free cash flow,PNB is rated Sell with 80% confidence. Key strengths include high roe (61.3%); efficient asset utilization. Investors should monitor high debt levels; negative free cash flow. 
TATAPOWER,1,1,-0.05,Sell,0.8,Positive free cash flow,High debt levels,TATAPOWER is rated Sell with 80% confidence. Key strengths include positive free cash flow. Investors should monitor high debt levels. 
GODREJCP,2,3,-0.85,Sell,0.8,Low debt levels; Strong operating margin,Low ROE (-4.5%); Weak profitability,GODREJCP is rated Sell with 80% confidence. Key strengths include low debt levels; strong operating margin. Investors should monitor low roe (-4.5%); weak profitability. 
AXISBANK,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage,AXISBANK is rated Sell with 80% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; low interest coverage. 
BANKBARODA,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage,BANKBARODA is rated Sell with 80% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; low interest coverage. 
GRASIM,1,2,-0.9,Sell,0.8,Strong operating margin,High debt levels; Negative free cash flow,GRASIM is rated Sell with 80% confidence. Key strengths include strong operating margin. Investors should monitor high debt levels; negative free cash flow. 
INDUSINDBK,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage,INDUSINDBK is rated Sell with 80% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; low interest coverage. 
JSWENERGY,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,Low ROE (8.3%); High debt levels,JSWENERGY is rated Sell with 80% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor low roe (8.3%); high debt levels. 
SHRIRAMFIN,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage,SHRIRAMFIN is rated Sell with 80% confidence. Key strengths include healthy net profit margin; strong operating margin. Investors should monitor high debt levels; low interest coverage. 
JSWSTEEL,1,2,-1.05,Avoid,0.95,Stable financial performance,High debt levels; Negative free cash flow,JSWSTEEL is rated Avoid with 95% confidence. Key strengths include stable financial performance. Investors should monitor high debt levels; negative free cash flow. 
M&M,1,2,-1.05,Avoid,0.95,Stable financial performance,High debt levels; Negative free cash flow,M&M is rated Avoid with 95% confidence. Key strengths include stable financial performance. Investors should monitor high debt levels; negative free cash flow. 
TVSMOTOR,1,3,-1.7,Avoid,0.95,High ROE (26.2%),High debt levels; Weak profitability,TVSMOTOR is rated Avoid with 95% confidence. Key strengths include high roe (26.2%). Investors should monitor high debt levels; weak profitability. 
TATASTEEL,1,3,-1.75,Avoid,0.95,Positive free cash flow,Low ROE (-5.3%); Weak profitability,TATASTEEL is rated Avoid with 95% confidence. Key strengths include positive free cash flow. Investors should monitor low roe (-5.3%); weak profitability. 
ADANIGREEN,1,3,-1.8,Avoid,0.95,Strong operating margin,High debt levels; Low interest coverage,ADANIGREEN is rated Avoid with 95% confidence. Key strengths include strong operating margin. Investors should monitor high debt levels; low interest coverage. 
UNIONBANK,1,3,-1.8,Avoid,0.95,Positive free cash flow,High debt levels; Weak operating margin,UNIONBANK is rated Avoid with 95% confidence. Key strengths include positive free cash flow. Investors should monitor high debt levels; weak operating margin. 
ADANIENT,1,4,-2.8,Avoid,0.95,Stable financial performance,Low ROE (8.5%); High debt levels,ADANIENT is rated Avoid with 95% confidence. Key strengths include stable financial performance. Investors should monitor low roe (8.5%); high debt levels. 
BHEL,1,5,-3.5,Avoid,0.95,Low debt levels,Low ROE (1.1%); Weak profitability,BHEL is rated Avoid with 95% confidence. Key strengths include low debt levels. Investors should monitor low roe (1.1%); weak profitability. 
